06:19:07 (pull_client) ================= Start Process PULL to Intan BK ==================
06:19:07 (pull_client) Intan BK - Table pro_sijil : '1' inserted.
06:19:08 (pull_client) Intan BK - Table pro_sijil : '2' inserted.
06:19:08 (pull_client) Intan BK - Table pro_sijil : '3' inserted.
06:19:08 (pull_client) Intan BK - Table pro_sijil : '4' inserted.
06:19:08 (pull_client) Intan BK - Table pro_sijil : '5' inserted.
06:19:09 (pull_client) Intan BK - Table pro_sijil : '6' inserted.
06:19:09 (pull_client) Intan BK - Table pro_sijil : '7' inserted.
06:19:09 (pull_client) Intan BK - Table pro_sijil : '8' inserted.
06:19:09 (pull_client) Intan BK - Table pro_sijil : '9' inserted.
06:19:10 (pull_client) Intan BK - Table pro_sijil : '10' inserted.
06:19:10 (pull_client) Intan BK - Table pro_sijil : '11' inserted.
06:19:10 (pull_client) Intan BK - Table pro_sijil : '12' inserted.
06:19:10 (pull_client) Intan BK - Table pro_sijil : '13' inserted.
06:19:10 (pull_client) Intan BK - Table pro_sijil : '14' inserted.
06:19:11 (pull_client) Intan BK - Table pro_sijil : '15' inserted.
06:19:11 (pull_client) Intan BK - Table pro_sijil : '16' inserted.
06:19:11 (pull_client) Intan BK - Table pro_sijil : '17' inserted.
06:19:11 (pull_client) Intan BK - Table pro_sijil : '18' inserted.
06:19:12 (pull_client) Intan BK - Table pro_sijil : '19' inserted.
06:19:12 (pull_client) Intan BK - Table pro_sijil : '20' inserted.
06:19:15 (pull_client) Intan BK - Table pro_sijil : '21' inserted.
06:19:15 (pull_client) Intan BK - Table pro_sijil : '22' inserted.
06:19:19 (pull_client) Intan BK - Table pro_sijil : '23' inserted.
06:19:19 (pull_client) Intan BK - Table prs_penilaian : '796' inserted.
06:19:19 (pull_client) Intan BK - Table prs_penilaian : '797' inserted.
06:19:19 (pull_client) Intan BK - Table prs_penilaian : '798' inserted.
06:19:19 (pull_client) Intan BK - Table prs_penilaian : '799' inserted.
06:19:20 (pull_client) Intan BK - Table prs_penilaian : '800' inserted.
06:19:20 (pull_client) Intan BK - Table prs_penilaian : '801' inserted.
06:19:20 (pull_client) Intan BK - Table prs_penilaian : '802' inserted.
06:19:20 (pull_client) Intan BK - Table prs_penilaian : '803' inserted.
06:19:21 (pull_client) Intan BK - Table prs_penilaian : '804' inserted.
06:19:21 (pull_client) Intan BK - Table prs_penilaian : '805' inserted.
06:19:21 (pull_client) Intan BK - Table prs_penilaian : '806' inserted.
06:19:21 (pull_client) Intan BK - Table prs_penilaian : '807' inserted.
06:19:22 (pull_client) Intan BK - Table prs_penilaian : '808' inserted.
06:19:22 (pull_client) Intan BK - Table prs_penilaian : '809' inserted.
06:19:22 (pull_client) Intan BK - Table prs_penilaian : '810' inserted.
06:19:22 (pull_client) Intan BK - Table prs_penilaian : '811' inserted.
06:19:22 (pull_client) Intan BK - Table prs_penilaian : '812' inserted.
06:19:23 (pull_client) Intan BK - Table prs_penilaian : '813' inserted.
06:19:26 (pull_client) Intan BK - Table prs_penilaian : '814' inserted.
06:19:26 (pull_client) Intan BK - Table prs_penilaian : '815' inserted.
06:19:27 (pull_client) Intan BK - Table prs_penilaian : '816' inserted.
06:19:27 (pull_client) Intan BK - Table prs_penilaian : '817' inserted.
06:19:27 (pull_client) Intan BK - Table prs_penilaian : '818' inserted.
06:19:30 (pull_client) Intan BK - Table prs_penilaian : '819' inserted.
06:19:30 (pull_client) Intan BK - Table prs_penilaian : '820' inserted.
06:19:31 (pull_client) Intan BK - Table prs_penilaian : '821' inserted.
06:19:31 (pull_client) Intan BK - Table prs_penilaian : '822' inserted.
06:19:31 (pull_client) Intan BK - Table prs_penilaian : '823' inserted.
06:19:31 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4451' inserted.
06:19:32 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4452' inserted.
06:19:32 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4453' inserted.
06:19:32 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4454' inserted.
06:19:33 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4455' inserted.
06:19:33 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4456' inserted.
06:19:33 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4457' inserted.
06:19:33 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4458' inserted.
06:19:34 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4459' inserted.
06:19:34 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4460' inserted.
06:19:34 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4461' inserted.
06:19:34 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4462' inserted.
06:19:34 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4463' inserted.
06:19:35 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4464' inserted.
06:19:35 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4465' inserted.
06:19:38 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4466' inserted.
06:19:38 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4467' inserted.
06:19:39 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4468' inserted.
06:19:39 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4469' inserted.
06:19:39 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4470' inserted.
06:19:39 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4471' inserted.
06:19:40 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4472' inserted.
06:19:40 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4473' inserted.
06:19:40 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4474' inserted.
06:19:40 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4475' inserted.
06:19:41 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4476' inserted.
06:19:50 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4477' inserted.
06:19:50 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4478' inserted.
06:19:50 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4479' inserted.
06:19:50 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4480' inserted.
06:19:51 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4481' inserted.
06:19:54 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4482' inserted.
06:19:54 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4483' inserted.
06:19:54 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4484' inserted.
06:19:55 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4485' inserted.
06:19:55 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4486' inserted.
06:19:55 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4487' inserted.
06:19:55 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4488' inserted.
06:19:56 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4489' inserted.
06:19:56 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4490' inserted.
06:19:56 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4491' inserted.
06:19:56 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4492' inserted.
06:19:56 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4493' inserted.
06:19:57 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4494' inserted.
06:19:57 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4495' inserted.
06:19:57 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4496' inserted.
06:19:57 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4497' inserted.
06:19:58 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4498' inserted.
06:19:58 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4499' inserted.
06:19:58 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4500' inserted.
06:19:58 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4501' inserted.
06:19:59 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4502' inserted.
06:19:59 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4503' inserted.
06:19:59 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4504' inserted.
06:19:59 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4505' inserted.
06:19:59 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4506' inserted.
06:20:00 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4507' inserted.
06:20:00 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4508' inserted.
06:20:00 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4509' inserted.
06:20:00 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4510' inserted.
06:20:00 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4511' inserted.
06:20:01 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4512' inserted.
06:20:01 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4513' inserted.
06:20:01 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4514' inserted.
06:20:01 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4515' inserted.
06:20:02 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4516' inserted.
06:20:02 (pull_client) Intan BK - Table prs_penilaian_keputusan_bahagian : '4517' inserted.
