05:21:53 (pull_client) ================= Start Process PULL to Intan BK ==================
05:21:53 (pull_client) Intan BK - Table pro_sijil : '1' inserted.
05:21:53 (pull_client) Intan BK - Table pro_sijil : '2' inserted.
05:21:53 (pull_client) Intan BK - Table pro_sijil : '3' inserted.
05:21:53 (pull_client) Intan BK - Table pro_sijil : '4' inserted.
05:21:54 (pull_client) Intan BK - Table pro_sijil : '5' inserted.
05:21:54 (pull_client) Intan BK - Table pro_sijil : '6' inserted.
05:21:54 (pull_client) Intan BK - Table pro_sijil : '7' inserted.
05:21:54 (pull_client) Intan BK - Table pro_sijil : '8' inserted.
05:21:54 (pull_client) Intan BK - Table pro_sijil : '9' inserted.
05:21:54 (pull_client) Intan BK - Table pro_sijil : '10' inserted.
05:21:54 (pull_client) Intan BK - Table pro_sijil : '11' inserted.
05:21:55 (pull_client) Intan BK - Table pro_sijil : '12' inserted.
05:21:55 (pull_client) Intan BK - Table pro_sijil : '13' inserted.
05:21:55 (pull_client) Intan BK - Table pro_sijil : '14' inserted.
05:21:55 (pull_client) Intan BK - Table pro_sijil : '15' inserted.
05:21:55 (pull_client) Intan BK - Table pro_sijil : '16' inserted.
05:21:55 (pull_client) Intan BK - Table pro_sijil : '17' inserted.
05:21:55 (pull_client) Intan BK - Table pro_sijil : '18' inserted.
05:21:56 (pull_client) Intan BK - Table pro_sijil : '19' inserted.
05:21:56 (pull_client) Intan BK - Table pro_sijil : '20' inserted.
05:21:56 (pull_client) Intan BK - Table pro_sijil : '21' inserted.
05:21:56 (pull_client) Intan BK - Table pro_sijil : '22' inserted.
05:21:56 (pull_client) Intan BK - Table pro_sijil : '23' inserted.
05:21:56 (pull_client) Intan BK - Table pro_sijil : '24' inserted.
05:21:56 (pull_client) Intan BK - Table pro_sijil : '25' inserted.
05:21:57 (pull_client) Intan BK - Table pro_sijil : '26' inserted.
05:21:57 (pull_client) Intan BK - Table pro_sijil : '27' inserted.
05:21:57 (pull_client) Intan BK - Table pro_sijil : '28' inserted.
05:21:57 (pull_client) Intan BK - Table pro_sijil : '29' inserted.
05:21:57 (pull_client) Intan BK - Table pro_sijil : '30' inserted.
05:21:57 (pull_client) Intan BK - Table pro_sijil : '31' inserted.
05:21:57 (pull_client) Intan BK - Table pro_sijil : '32' inserted.
05:21:58 (pull_client) Intan BK - Table pro_sijil : '33' inserted.
05:21:58 (pull_client) Intan BK - Table pro_sijil : '34' inserted.
05:21:58 (pull_client) Intan BK - Table pro_sijil : '35' inserted.
05:21:58 (pull_client) Intan BK - Table pro_sijil : '36' inserted.
05:21:58 (pull_client) Intan BK - Table pro_sijil : '37' inserted.
05:21:58 (pull_client) Intan BK - Table pro_sijil : '38' inserted.
05:21:59 (pull_client) Intan BK - Table pro_sijil : '39' inserted.
05:21:59 (pull_client) Intan BK - Table pro_sijil : '40' inserted.
05:21:59 (pull_client) Intan BK - Table pro_sijil : '41' inserted.
05:21:59 (pull_client) Intan BK - Table pro_sijil : '42' inserted.
05:21:59 (pull_client) Intan BK - Table pro_sijil : '43' inserted.
05:21:59 (pull_client) Intan BK - Table pro_sijil : '44' inserted.
05:21:59 (pull_client) Intan BK - Table pro_sijil : '45' inserted.
05:22:00 (pull_client) Intan BK - Table pro_sijil : '46' inserted.
